mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
-10098285.75882779806852341,5235009.29858105722814798,1342.06545454545448592,-308.83090909090913101,1,-10.65959832657267725,48.87387395078877717,50.02282070656812607
-10098307.86118763871490955,5235032.56714580953121185,642.22545454545456778,-372.45272727272725888,1,143.58611740424521486,10.85609383635727454,143.99593009737978377
-10098284.42602218501269817,5234982.0315994480624795,1966.35454545454558684,-429.44727272727271838,1,-168.58018212916726952,28.67838583870212688,171.002127533597303
-10098336.34990772977471352,5235005.77219952363520861,165.06181818181840981,-808.52727272727258878,1,131.07563909627225485,32.92685235689918954,135.14806979986525448
-10098343.68033863045275211,5235005.32793098408728838,40.46909090909112905,-880.10181818181808922,1,-112.62177861021422132,131.9562905221504252,173.48235537279944651
-10098333.68429649248719215,5235032.20617762021720409,114.69454545454567551,-571.27090909090895821,1,109.85354709813654495,-22.51167352465483873,112.13642251705353203
-10098320.67840677127242088,5235100.27593203634023666,205.93685289176065112,-304.54211778730388005,1,48.39921738757732328,-36.0538645830743576,60.35201235339738446
-10098299.48369330167770386,5235056.7408449100330472,585.35096279367724037,-281.59741548382220344,1,149.63987684380629162,8.02034915202506227,149.85465872754807037
-10098195.40046526864171028,5235098.90113981161266565,1194.54991771132381473,-61.57715503045059791,1,69.16902787417006948,39.62831332228130066,79.71673371273193709
-10098315.58021893352270126,5234979.29421623516827822,1646.87728433169604614,-935.37190368812571251,1,-175.16292376496289762,-88.97545690540607666,196.46547226781601125
-10098277.42973469197750092,5235085.72604765370488167,625.3546465124709357,-201.87578864422329161,1,189.73236808683031995,-2.24603020425956856,189.74566174623049619
-10098305.38384326733648777,5235101.6507242601364851,292.46684985249959254,-264.73872020232943214,1,161.69293894853052507,-32.22803159380251259,164.87344396907693067
-10098338.03515860997140408,5235095.34959322866052389,50.15882275579928518,-379.60644059486872948,1,-80.5021834771885807,-51.59681711832928386,95.61816292596951428
-10098236.98793007247149944,5235036.92092366516590118,1462.45018240853937641,-136.28641554694917204,1,-31.08485817397172468,45.40597132035193795,55.02699918440546156
-10098235.61313784681260586,5235015.95534223411232233,1724.14638723088341976,-172.48269822852503808,1,-97.58334236693394814,28.62650607941384351,101.69555328438389097
-10098296.90595787949860096,5234975.28440557699650526,2042.04836927647056655,-620.56914731668643981,1,-186.28263682866804629,-7.60391898017041967,186.43776540094665961
-10098258.18264354206621647,5234956.72471053898334503,2546.45643948832821479,-481.46109207888713399,1,-29.87396617251806674,-73.27743596836018014,79.13303025269460989
-10098219.80302725918591022,5234961.65104934573173523,2431.09854002283600494,-318.60288106878073222,1,-26.4577107401532885,-76.64560515434735066,81.0836558566875425
-10098214.30385836027562618,5235038.06658385414630175,1628.11708295911694222,-113.8991575074664695,1,-89.77885230525521365,35.13796537983108692,96.41015990176055084
-10098312.47429729253053665,5235077.58512870129197836,338.8229124624411952,-297.86861809295692183,1,110.77651966242234494,-11.18313677440482934,111.33957003973964106
-10098305.61483887583017349,5235093.60196410026401281,366.71992082991312145,-261.48941123537531439,1,113.13723986203581262,-17.74600915915650035,114.52054787101174327
-10098321.35729593969881535,5235085.91937067452818155,185.76635304090567047,-329.91247905559362152,1,98.47660471086030043,-33.87899141256212943,104.14138339061706517
-10098338.02577989362180233,5235114.62620414327830076,43.26541840706242681,-342.16454354130769389,1,-91.61818952116956893,-53.64757854987720975,106.16946517432491248
-10098042.26383198425173759,5235047.36603693664073944,2027.34589189361395256,-68.09528566087378465,1,-114.6758148884421189,-34.29141426274730264,119.69312266152802238
-10098212.35060480050742626,5235098.72027254290878773,1133.51066433583036996,-71.48816505691789303,1,52.5821966406692809,43.02189065642591004,67.93946187019352578
-10098134.93312931805849075,5235084.24069483391940594,1649.41682583428132602,-41.70622369164383514,1,-103.86925680595572885,26.18366956523828293,107.1186587916557329
